归属单位,仪表类别,仪表数量,数据统计周,本月故障小时数,本月运维内容,该运维内容对应次数,该运维内容单次运维费用,未来N个月内安装次数,未来N个月运维成本,未来总成本预测,安装时间（每个仪表单独统计）,报废时间（每个仪表单独统计）,已服役总时间（每个仪表单独统计）
孤岛采油厂/采油管理四区,温压变,590,第11周,4,井场仪表设备故障诊断(功图部分除外),2,232,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第12周,6,井场仪表设备故障诊断(功图部分除外),13,348,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第13周,4,井场仪表设备故障诊断(功图部分除外),4,232,,,,,,
孤岛采油厂/采油管理四区,温压变,591,第14周,14,井场仪表设备故障诊断(功图部分除外),15,812,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第2周,6,井场仪表设备故障诊断(功图部分除外),23,348,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第3周,2,井场仪表设备故障诊断(功图部分除外),13,116,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第4周,2,井场仪表设备故障诊断(功图部分除外),13,116,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第5周,4,井场仪表设备故障诊断(功图部分除外),20,232,,,,,,
孤岛采油厂/采油管理四区,温压变,129,第6周,6,井场仪表设备故障诊断(功图部分除外),18,348,,,,,,
孤岛采油厂/采油管理四区,温压变,129,第7周,4,井场仪表设备故障诊断(功图部分除外),8,232,,,,,,
孤岛采油厂/采油管理四区,温压变,130,第8周,4,井场仪表设备故障诊断(功图部分除外),11,232,,,,,,
孤岛采油厂/采油管理四区,温压变,130,第9周,10,井场仪表设备故障诊断(功图部分除外),22,580,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第10周,10,井场仪表设备故障诊断(功图部分除外),38,580,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第11周,2,井场仪表设备故障诊断(功图部分除外),29,116,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第12周,2,井场仪表设备故障诊断(功图部分除外),10,116,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第13周,4,井场仪表设备故障诊断(功图部分除外),20,232,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第14周,6,井场仪表设备故障诊断(功图部分除外),41,348,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第2周,6,井场仪表设备故障诊断(功图部分除外),26,348,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第3周,6,井场仪表设备故障诊断(功图部分除外),42,348,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第4周,2,井场仪表设备故障诊断(功图部分除外),31,116,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第5周,2,井场仪表设备故障诊断(功图部分除外),17,116,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第6周,8,井场仪表设备故障诊断(功图部分除外),31,464,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第7周,2,井场仪表设备故障诊断(功图部分除外),32,,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第8周,4,井场仪表设备故障诊断(功图部分除外),48,232,,,,,,
孤岛采油厂/采油管理四区,温压变,130,第9周,10,井场仪表设备故障诊断(功图部分除外),33,580,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第10周,16,井场仪表设备故障诊断(功图部分除外),61,928,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第11周,2,井场仪表设备故障诊断(功图部分除外),9,116,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第12周,4,井场仪表设备故障诊断(功图部分除外),37,232,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第13周,4,井场仪表设备故障诊断(功图部分除外),46,232,,,,,,
