数据统计日,仪表数量,该运维内容对应次数,单位该运维内容对应次数
2023-03-08,30,6,0.2
2023-03-09,0,0,0.0
2023-03-10,0,0,0.0
2023-03-11,0,0,0.0
2023-03-12,0,0,0.0
2023-03-13,0,0,0.0
2023-03-14,0,0,0.0
2023-03-15,0,0,0.0
2023-03-16,0,0,0.0
2023-03-17,0,0,0.0
2023-03-18,0,0,0.0
2023-03-19,0,0,0.0
2023-03-20,0,0,0.0
2023-03-21,0,0,0.0
2023-03-22,0,0,0.0
2023-03-23,0,0,0.0
2023-03-24,0,0,0.0
2023-03-25,0,0,0.0
2023-03-26,0,0,0.0
2023-03-27,0,0,0.0
2023-03-28,902,6,0.0066518847006651885
2023-03-29,1112,12,0.01079136690647482
2023-03-30,0,0,0.0
2023-03-31,838,6,0.007159904534606206
2023-04-01,419,3,0.007159904534606206
2023-04-02,419,12,0.028639618138424822
2023-04-03,1841,10,0.005431830526887561
2023-04-04,0,0,0.0
2023-04-05,912,16,0.017543859649122806
2023-04-06,840,15,0.017857142857142856
2023-04-07,419,6,0.014319809069212411
2023-04-08,419,2,0.00477326968973747
2023-04-09,419,6,0.014319809069212411
2023-04-10,1410,6,0.00425531914893617
2023-04-11,419,7,0.016706443914081145
2023-04-12,0,0,0.0
2023-04-13,419,2,0.00477326968973747
2023-04-14,419,2,0.00477326968973747
2023-04-15,419,6,0.014319809069212411
2023-04-16,0,0,0.0
2023-04-17,838,11,0.013126491646778043
2023-04-18,419,6,0.014319809069212411
2023-04-19,838,6,0.007159904534606206
2023-04-20,419,3,0.007159904534606206
2023-04-21,0,0,0.0
2023-04-22,419,11,0.026252983293556086
2023-04-23,419,16,0.03818615751789976
2023-04-24,419,5,0.011933174224343675
2023-04-25,0,0,0.0
2023-04-26,419,12,0.028639618138424822
2023-04-27,419,7,0.016706443914081145
2023-04-28,419,5,0.011933174224343675
2023-04-29,0,0,0.0
2023-04-30,1408,11,0.0078125
2023-05-01,419,3,0.007159904534606206
2023-05-02,419,6,0.014319809069212411
2023-05-03,419,3,0.007159904534606206
2023-05-04,419,1,0.002386634844868735
2023-05-05,419,3,0.007159904534606206
2023-05-06,0,0,0.0
2023-05-07,419,3,0.007159904534606206
2023-05-08,419,6,0.014319809069212411
2023-05-09,419,4,0.00954653937947494
2023-05-10,419,1,0.002386634844868735
2023-05-11,419,4,0.00954653937947494
2023-05-12,419,10,0.02386634844868735
2023-05-13,419,4,0.00954653937947494
2023-05-14,419,1,0.002386634844868735
2023-05-15,436,3,0.006880733944954129
2023-05-16,419,1,0.002386634844868735
2023-05-17,419,8,0.01909307875894988
2023-05-18,419,1,0.002386634844868735
2023-05-19,0,0,0.0
2023-05-20,419,10,0.02386634844868735
2023-05-21,419,1,0.002386634844868735
2023-05-22,419,1,0.002386634844868735
2023-05-23,0,0,0.0
2023-05-24,1901,21,0.011046817464492372
2023-05-25,419,2,0.00477326968973747
2023-05-26,0,0,0.0
2023-05-27,419,8,0.01909307875894988
2023-05-28,493,9,0.018255578093306288
2023-05-29,0,0,0.0
2023-05-30,0,0,0.0
2023-05-31,419,7,0.016706443914081145
2023-06-01,419,7,0.016706443914081145
2023-06-02,556,16,0.02877697841726619
2023-06-03,0,0,0.0
2023-06-04,419,3,0.007159904534606206
2023-06-05,419,2,0.00477326968973747
2023-06-06,0,0,0.0
2023-06-07,0,0,0.0
2023-06-08,419,4,0.00954653937947494
2023-06-09,419,1,0.002386634844868735
2023-06-10,556,8,0.014388489208633094
2023-06-11,0,0,0.0
2023-06-12,419,1,0.002386634844868735
2023-06-13,419,5,0.011933174224343675
2023-06-14,0,0,0.0
2023-06-15,1460,18,0.012328767123287671
2023-06-16,0,0,0.0
2023-06-17,436,7,0.016055045871559634
2023-06-18,419,3,0.007159904534606206
2023-06-19,989,8,0.008088978766430738
2023-06-20,419,4,0.00954653937947494
2023-06-21,0,0,0.0
2023-06-22,0,0,0.0
2023-06-23,419,2,0.00477326968973747
2023-06-24,419,1,0.002386634844868735
2023-06-25,419,5,0.011933174224343675
2023-06-26,419,1,0.002386634844868735
2023-06-27,0,0,0.0
2023-06-28,493,5,0.010141987829614604
2023-06-29,975,7,0.0071794871794871795
2023-06-30,419,1,0.002386634844868735
2023-07-01,0,0,0.0
2023-07-02,493,5,0.010141987829614604
2023-07-03,419,4,0.00954653937947494
2023-07-04,419,2,0.00477326968973747
2023-07-05,0,0,0.0
2023-07-06,852,4,0.004694835680751174
2023-07-07,419,3,0.007159904534606206
2023-07-08,0,0,0.0
2023-07-09,0,0,0.0
2023-07-10,419,6,0.014319809069212411
2023-07-11,419,2,0.00477326968973747
2023-07-12,1408,4,0.002840909090909091
2023-07-13,838,3,0.003579952267303103
2023-07-14,419,1,0.002386634844868735
2023-07-15,419,1,0.002386634844868735
2023-07-16,419,3,0.007159904534606206
2023-07-17,838,8,0.00954653937947494
2023-07-18,419,3,0.007159904534606206
2023-07-19,0,0,0.0
2023-07-20,419,11,0.026252983293556086
2023-07-21,0,0,0.0
2023-07-22,556,14,0.025179856115107913
2023-07-23,419,1,0.002386634844868735
2023-07-24,556,7,0.012589928057553957
2023-07-25,838,5,0.0059665871121718375
2023-07-26,0,0,0.0
2023-07-27,419,4,0.00954653937947494
2023-07-28,419,3,0.007159904534606206
2023-07-29,419,3,0.007159904534606206
2023-07-30,419,3,0.007159904534606206
2023-07-31,838,10,0.011933174224343675
2023-08-01,0,0,0.0
2023-08-02,419,2,0.00477326968973747
2023-08-03,0,0,0.0
2023-08-04,419,5,0.011933174224343675
2023-08-05,419,1,0.002386634844868735
2023-08-06,838,5,0.0059665871121718375
2023-08-07,0,0,0.0
2023-08-08,419,5,0.011933174224343675
2023-08-09,0,0,0.0
2023-08-10,419,7,0.016706443914081145
2023-08-11,419,1,0.002386634844868735
2023-08-12,421,7,0.0166270783847981
2023-08-13,0,0,0.0
2023-08-14,419,9,0.021479713603818614
2023-08-15,0,0,0.0
2023-08-16,428,11,0.02570093457943925
2023-08-17,0,0,0.0
2023-08-18,419,8,0.01909307875894988
2023-08-19,0,0,0.0
2023-08-20,2260,20,0.008849557522123894
2023-08-21,471,5,0.010615711252653927
2023-08-22,0,0,0.0
2023-08-23,975,9,0.009230769230769232
2023-08-24,419,7,0.016706443914081145
2023-08-25,0,0,0.0
2023-08-26,838,8,0.00954653937947494
2023-08-27,419,1,0.002386634844868735
2023-08-28,838,4,0.00477326968973747
2023-08-29,556,4,0.007194244604316547
2023-08-30,0,0,0.0
2023-08-31,471,5,0.010615711252653927
2023-09-01,419,3,0.007159904534606206
2023-09-02,0,0,0.0
2023-09-03,838,5,0.0059665871121718375
2023-09-04,419,2,0.00477326968973747
2023-09-05,434,11,0.02534562211981567
2023-09-06,0,0,0.0
2023-09-07,493,5,0.010141987829614604
2023-09-08,0,0,0.0
2023-09-09,456,10,0.021929824561403508
2023-09-10,0,0,0.0
2023-09-11,419,2,0.00477326968973747
2023-09-12,0,0,0.0
2023-09-13,419,3,0.007159904534606206
2023-09-14,0,0,0.0
2023-09-15,419,4,0.00954653937947494
2023-09-16,0,0,0.0
2023-09-17,434,8,0.018433179723502304
2023-09-18,0,0,0.0
2023-09-19,0,0,0.0
2023-09-20,419,3,0.007159904534606206
2023-09-21,419,3,0.007159904534606206
2023-09-22,0,0,0.0
2023-09-23,419,3,0.007159904534606206
2023-09-24,419,2,0.00477326968973747
2023-09-25,419,8,0.01909307875894988
2023-09-26,419,4,0.00954653937947494
2023-09-27,0,0,0.0
2023-09-28,493,5,0.010141987829614604
2023-09-29,419,1,0.002386634844868735
2023-09-30,0,0,0.0
2023-10-01,0,0,0.0
2023-10-02,419,3,0.007159904534606206
2023-10-03,419,4,0.00954653937947494
2023-10-04,0,0,0.0
2023-10-05,419,1,0.002386634844868735
2023-10-06,0,0,0.0
2023-10-07,0,0,0.0
2023-10-08,0,0,0.0
2023-10-09,419,5,0.011933174224343675
2023-10-10,975,5,0.005128205128205128
2023-10-11,838,5,0.0059665871121718375
2023-10-12,0,0,0.0
2023-10-13,419,3,0.007159904534606206
2023-10-14,838,3,0.003579952267303103
2023-10-15,419,6,0.014319809069212411
2023-10-16,0,0,0.0
2023-10-17,556,5,0.008992805755395683
2023-10-18,0,0,0.0
2023-10-19,429,7,0.016317016317016316
2023-10-20,0,0,0.0
2023-10-21,137,3,0.021897810218978103
2023-10-22,419,4,0.00954653937947494
2023-10-23,493,7,0.014198782961460446
2023-10-24,0,0,0.0
2023-10-25,493,7,0.014198782961460446
2023-10-26,419,1,0.002386634844868735
2023-10-27,838,7,0.008353221957040573
2023-10-28,0,0,0.0
2023-10-29,419,1,0.002386634844868735
2023-10-30,419,1,0.002386634844868735
2023-10-31,419,1,0.002386634844868735
2023-11-01,0,0,0.0
2023-11-02,0,0,0.0
2023-11-03,0,0,0.0
2023-11-04,419,2,0.00477326968973747
2023-11-05,0,0,0.0
2023-11-06,419,3,0.007159904534606206
2023-11-07,419,2,0.00477326968973747
2023-11-08,838,12,0.014319809069212411
2023-11-09,0,0,0.0
2023-11-10,493,4,0.008113590263691683
2023-11-11,838,3,0.003579952267303103
2023-11-12,838,3,0.003579952267303103
2023-11-13,0,0,0.0
2023-11-14,502,13,0.025896414342629483
2023-11-15,451,8,0.017738359201773836
2023-11-16,419,3,0.007159904534606206
2023-11-17,0,0,0.0
2023-11-18,0,0,0.0
2023-11-19,419,1,0.002386634844868735
2023-11-20,508,8,0.015748031496062992
2023-11-21,419,6,0.014319809069212411
2023-11-22,0,0,0.0
2023-11-23,419,1,0.002386634844868735
2023-11-24,838,8,0.00954653937947494
2023-11-25,0,0,0.0
2023-11-26,419,1,0.002386634844868735
2023-11-27,471,4,0.008492569002123142
2023-11-28,0,0,0.0
2023-11-29,0,0,0.0
2023-11-30,419,2,0.00477326968973747
2023-12-01,493,7,0.014198782961460446
2023-12-02,977,9,0.009211873080859774
2023-12-03,0,0,0.0
2023-12-04,838,3,0.003579952267303103
2023-12-05,419,2,0.00477326968973747
2023-12-06,419,1,0.002386634844868735
2023-12-07,0,0,0.0
2023-12-08,419,1,0.002386634844868735
2023-12-09,0,0,0.0
2023-12-10,419,3,0.007159904534606206
2023-12-11,0,0,0.0
2023-12-12,0,0,0.0
2023-12-13,419,1,0.002386634844868735
2023-12-14,419,1,0.002386634844868735
2023-12-15,0,0,0.0
2023-12-16,434,4,0.009216589861751152
2023-12-17,0,0,0.0
2023-12-18,1064,13,0.012218045112781954
2023-12-19,0,0,0.0
2023-12-20,419,1,0.002386634844868735
2023-12-21,419,2,0.00477326968973747
2023-12-22,838,10,0.011933174224343675
2023-12-23,419,1,0.002386634844868735
2023-12-24,0,0,0.0
2023-12-25,0,0,0.0
2023-12-26,419,5,0.011933174224343675
2023-12-27,0,0,0.0
2023-12-28,419,5,0.011933174224343675
2023-12-29,0,0,0.0
2023-12-30,556,3,0.00539568345323741
2023-12-31,0,0,0.0
2024-01-01,0,0,0.0
2024-01-02,419,3,0.007159904534606206
2024-01-03,0,0,0.0
2024-01-04,0,0,0.0
2024-01-05,419,4,0.00954653937947494
2024-01-06,419,1,0.002386634844868735
2024-01-07,0,0,0.0
2024-01-08,0,0,0.0
2024-01-09,419,4,0.00954653937947494
2024-01-10,419,3,0.007159904534606206
2024-01-11,419,2,0.00477326968973747
2024-01-12,0,0,0.0
2024-01-13,433,2,0.004618937644341801
2024-01-14,0,0,0.0
2024-01-15,419,6,0.014319809069212411
2024-01-16,0,0,0.0
2024-01-17,419,1,0.002386634844868735
2024-01-18,419,3,0.007159904534606206
2024-01-19,419,7,0.016706443914081145
2024-01-20,0,0,0.0
2024-01-21,419,2,0.00477326968973747
2024-01-22,419,10,0.02386634844868735
2024-01-23,419,2,0.00477326968973747
2024-01-24,419,5,0.011933174224343675
2024-01-25,419,1,0.002386634844868735
2024-01-26,419,4,0.00954653937947494
2024-01-27,419,3,0.007159904534606206
2024-01-28,0,0,0.0
2024-01-29,419,2,0.00477326968973747
2024-01-30,0,0,0.0
2024-01-31,419,4,0.00954653937947494
2024-02-01,0,0,0.0
2024-02-02,419,2,0.00477326968973747
2024-02-03,419,3,0.007159904534606206
2024-02-04,0,0,0.0
2024-02-05,0,0,0.0
2024-02-06,419,4,0.00954653937947494
2024-02-07,419,3,0.007159904534606206
2024-02-08,556,3,0.00539568345323741
2024-02-09,0,0,0.0
2024-02-10,137,3,0.021897810218978103
2024-02-11,419,4,0.00954653937947494
2024-02-12,556,7,0.012589928057553957
2024-02-13,0,0,0.0
2024-02-14,0,0,0.0
2024-02-15,443,4,0.009029345372460496
2024-02-16,0,0,0.0
2024-02-17,0,0,0.0
2024-02-18,419,2,0.00477326968973747
2024-02-19,443,4,0.009029345372460496
2024-02-20,419,6,0.014319809069212411
2024-02-21,0,0,0.0
2024-02-22,0,0,0.0
2024-02-23,419,5,0.011933174224343675
2024-02-24,493,7,0.014198782961460446
2024-02-25,0,0,0.0
2024-02-26,0,0,0.0
2024-02-27,493,8,0.016227180527383367
2024-02-28,419,3,0.007159904534606206
2024-02-29,419,1,0.002386634844868735
2024-03-01,137,7,0.051094890510948905
2024-03-02,52,2,0.038461538461538464
2024-03-03,556,21,0.03776978417266187
2024-03-04,0,0,0.0
2024-03-05,419,3,0.007159904534606206
2024-03-06,0,0,0.0
2024-03-07,419,6,0.014319809069212411
2024-03-08,0,0,0.0
2024-03-09,507,4,0.007889546351084813
2024-03-10,0,0,0.0
2024-03-11,24,2,0.08333333333333333
2024-03-12,419,2,0.00477326968973747
2024-03-13,419,5,0.011933174224343675
2024-03-14,912,8,0.008771929824561403
2024-03-15,0,0,0.0
2024-03-16,419,1,0.002386634844868735
2024-03-17,419,2,0.00477326968973747
