数据统计日,仪表数量,该运维内容对应次数,单位该运维内容对应次数
2023-03-22,184,6,0.03260869565217391
2023-03-23,0,0,0.0
2023-03-24,0,0,0.0
2023-03-25,1206,4,0.003316749585406302
2023-03-26,0,0,0.0
2023-03-27,1390,18,0.012949640287769784
2023-03-28,0,0,0.0
2023-03-29,0,0,0.0
2023-03-30,0,0,0.0
2023-03-31,0,0,0.0
2023-04-01,0,0,0.0
2023-04-02,0,0,0.0
2023-04-03,0,0,0.0
2023-04-04,0,0,0.0
2023-04-05,839,76,0.09058402860548272
2023-04-06,839,24,0.028605482717520857
2023-04-07,0,0,0.0
2023-04-08,603,3,0.004975124378109453
2023-04-09,0,0,0.0
2023-04-10,0,0,0.0
2023-04-11,236,4,0.01694915254237288
2023-04-12,0,0,0.0
2023-04-13,0,0,0.0
2023-04-14,0,0,0.0
2023-04-15,0,0,0.0
2023-04-16,0,0,0.0
2023-04-17,0,0,0.0
2023-04-18,0,0,0.0
2023-04-19,92,5,0.05434782608695652
2023-04-20,144,3,0.020833333333333332
2023-04-21,603,6,0.009950248756218905
2023-04-22,0,0,0.0
2023-04-23,603,2,0.003316749585406302
2023-04-24,0,0,0.0
2023-04-25,0,0,0.0
2023-04-26,0,0,0.0
2023-04-27,0,0,0.0
2023-04-28,0,0,0.0
2023-04-29,0,0,0.0
2023-04-30,0,0,0.0
2023-05-01,603,6,0.009950248756218905
2023-05-02,0,0,0.0
2023-05-03,0,0,0.0
2023-05-04,603,2,0.003316749585406302
2023-05-05,0,0,0.0
2023-05-06,0,0,0.0
2023-05-07,0,0,0.0
2023-05-08,0,0,0.0
2023-05-09,0,0,0.0
2023-05-10,0,0,0.0
2023-05-11,0,0,0.0
2023-05-12,747,10,0.013386880856760375
2023-05-13,0,0,0.0
2023-05-14,0,0,0.0
2023-05-15,0,0,0.0
2023-05-16,0,0,0.0
2023-05-17,0,0,0.0
2023-05-18,0,0,0.0
2023-05-19,2,2,1.0
2023-05-20,0,0,0.0
2023-05-21,0,0,0.0
2023-05-22,0,0,0.0
2023-05-23,0,0,0.0
2023-05-24,0,0,0.0
2023-05-25,0,0,0.0
2023-05-26,0,0,0.0
2023-05-27,0,0,0.0
2023-05-28,0,0,0.0
2023-05-29,0,0,0.0
2023-05-30,876,28,0.0319634703196347
2023-05-31,0,0,0.0
2023-06-01,0,0,0.0
2023-06-02,236,8,0.03389830508474576
2023-06-03,0,0,0.0
2023-06-04,0,0,0.0
2023-06-05,0,0,0.0
2023-06-06,0,0,0.0
2023-06-07,0,0,0.0
2023-06-08,0,0,0.0
2023-06-09,0,0,0.0
2023-06-10,603,3,0.004975124378109453
2023-06-11,0,0,0.0
2023-06-12,0,0,0.0
2023-06-13,92,3,0.03260869565217391
2023-06-14,695,6,0.008633093525179856
2023-06-15,0,0,0.0
2023-06-16,0,0,0.0
2023-06-17,0,0,0.0
2023-06-18,0,0,0.0
2023-06-19,0,0,0.0
2023-06-20,0,0,0.0
2023-06-21,0,0,0.0
2023-06-22,610,5,0.00819672131147541
2023-06-23,0,0,0.0
2023-06-24,0,0,0.0
2023-06-25,0,0,0.0
2023-06-26,603,6,0.009950248756218905
2023-06-27,0,0,0.0
2023-06-28,0,0,0.0
2023-06-29,0,0,0.0
2023-06-30,0,0,0.0
2023-07-01,0,0,0.0
2023-07-02,0,0,0.0
2023-07-03,0,0,0.0
2023-07-04,0,0,0.0
2023-07-05,0,0,0.0
2023-07-06,0,0,0.0
2023-07-07,0,0,0.0
2023-07-08,0,0,0.0
2023-07-09,92,1,0.010869565217391304
2023-07-10,0,0,0.0
2023-07-11,0,0,0.0
2023-07-12,0,0,0.0
2023-07-13,0,0,0.0
2023-07-14,0,0,0.0
2023-07-15,0,0,0.0
2023-07-16,0,0,0.0
2023-07-17,0,0,0.0
2023-07-18,0,0,0.0
2023-07-19,0,0,0.0
2023-07-20,0,0,0.0
2023-07-21,0,0,0.0
2023-07-22,0,0,0.0
2023-07-23,0,0,0.0
2023-07-24,0,0,0.0
2023-07-25,0,0,0.0
2023-07-26,695,6,0.008633093525179856
2023-07-27,0,0,0.0
2023-07-28,0,0,0.0
2023-07-29,695,8,0.011510791366906475
2023-07-30,0,0,0.0
2023-07-31,0,0,0.0
2023-08-01,0,0,0.0
2023-08-02,0,0,0.0
2023-08-03,0,0,0.0
2023-08-04,0,0,0.0
2023-08-05,0,0,0.0
2023-08-06,0,0,0.0
2023-08-07,0,0,0.0
2023-08-08,0,0,0.0
2023-08-09,0,0,0.0
2023-08-10,603,5,0.008291873963515755
2023-08-11,0,0,0.0
2023-08-12,0,0,0.0
2023-08-13,0,0,0.0
2023-08-14,0,0,0.0
2023-08-15,0,0,0.0
2023-08-16,0,0,0.0
2023-08-17,0,0,0.0
2023-08-18,0,0,0.0
2023-08-19,695,17,0.02446043165467626
2023-08-20,0,0,0.0
2023-08-21,0,0,0.0
2023-08-22,0,0,0.0
2023-08-23,0,0,0.0
2023-08-24,0,0,0.0
2023-08-25,1396,4,0.0028653295128939827
2023-08-26,0,0,0.0
2023-08-27,899,9,0.010011123470522803
2023-08-28,0,0,0.0
2023-08-29,0,0,0.0
2023-08-30,0,0,0.0
2023-08-31,0,0,0.0
2023-09-01,0,0,0.0
2023-09-02,0,0,0.0
2023-09-03,0,0,0.0
2023-09-04,0,0,0.0
2023-09-05,1266,21,0.016587677725118485
2023-09-06,0,0,0.0
2023-09-07,0,0,0.0
2023-09-08,0,0,0.0
2023-09-09,0,0,0.0
2023-09-10,0,0,0.0
2023-09-11,0,0,0.0
2023-09-12,0,0,0.0
2023-09-13,0,0,0.0
2023-09-14,0,0,0.0
2023-09-15,0,0,0.0
2023-09-16,0,0,0.0
2023-09-17,0,0,0.0
2023-09-18,0,0,0.0
2023-09-19,663,2,0.0030165912518853697
2023-09-20,0,0,0.0
