数据统计日,仪表数量,该运维内容对应次数,单位该运维内容对应次数
2023-04-06,77,2,0.025974025974025976
2023-04-07,0,0,0.0
2023-04-08,0,0,0.0
2023-04-09,0,0,0.0
2023-04-10,0,0,0.0
2023-04-11,0,0,0.0
2023-04-12,0,0,0.0
2023-04-13,0,0,0.0
2023-04-14,0,0,0.0
2023-04-15,0,0,0.0
2023-04-16,0,0,0.0
2023-04-17,102,15,0.14705882352941177
2023-04-18,21,2,0.09523809523809523
2023-04-19,0,0,0.0
2023-04-20,0,0,0.0
2023-04-21,0,0,0.0
2023-04-22,0,0,0.0
2023-04-23,0,0,0.0
2023-04-24,0,0,0.0
2023-04-25,0,0,0.0
2023-04-26,0,0,0.0
2023-04-27,18,3,0.16666666666666666
2023-04-28,0,0,0.0
2023-04-29,0,0,0.0
2023-04-30,0,0,0.0
2023-05-01,0,0,0.0
2023-05-02,0,0,0.0
2023-05-03,202,6,0.0297029702970297
2023-05-04,84,3,0.03571428571428571
2023-05-05,102,5,0.049019607843137254
2023-05-06,0,0,0.0
2023-05-07,0,0,0.0
2023-05-08,0,0,0.0
2023-05-09,0,0,0.0
2023-05-10,0,0,0.0
2023-05-11,0,0,0.0
2023-05-12,84,2,0.023809523809523808
2023-05-13,0,0,0.0
2023-05-14,0,0,0.0
2023-05-15,0,0,0.0
2023-05-16,84,3,0.03571428571428571
2023-05-17,84,5,0.05952380952380952
2023-05-18,0,0,0.0
2023-05-19,0,0,0.0
2023-05-20,18,3,0.16666666666666666
2023-05-21,84,3,0.03571428571428571
2023-05-22,0,0,0.0
2023-05-23,123,15,0.12195121951219512
2023-05-24,0,0,0.0
2023-05-25,0,0,0.0
2023-05-26,0,0,0.0
2023-05-27,0,0,0.0
2023-05-28,102,8,0.0784313725490196
2023-05-29,0,0,0.0
2023-05-30,0,0,0.0
2023-05-31,0,0,0.0
2023-06-01,84,6,0.07142857142857142
2023-06-02,0,0,0.0
2023-06-03,0,0,0.0
2023-06-04,0,0,0.0
2023-06-05,84,2,0.023809523809523808
2023-06-06,84,2,0.023809523809523808
2023-06-07,0,0,0.0
2023-06-08,0,0,0.0
2023-06-09,202,9,0.04455445544554455
2023-06-10,84,2,0.023809523809523808
2023-06-11,0,0,0.0
2023-06-12,0,0,0.0
2023-06-13,84,4,0.047619047619047616
2023-06-14,0,0,0.0
2023-06-15,0,0,0.0
2023-06-16,0,0,0.0
2023-06-17,102,4,0.0392156862745098
2023-06-18,0,0,0.0
2023-06-19,0,0,0.0
2023-06-20,0,0,0.0
2023-06-21,84,6,0.07142857142857142
2023-06-22,0,0,0.0
2023-06-23,0,0,0.0
