数据统计日,仪表数量,该运维内容对应次数,单位该运维内容对应次数
2023-03-22,14,2,0.14285714285714285
2023-03-23,0,0,0.0
2023-03-24,0,0,0.0
2023-03-25,0,0,0.0
2023-03-26,0,0,0.0
2023-03-27,0,0,0.0
2023-03-28,0,0,0.0
2023-03-29,838,18,0.021479713603818614
2023-03-30,474,4,0.008438818565400843
2023-03-31,0,0,0.0
2023-04-01,0,0,0.0
2023-04-02,0,0,0.0
2023-04-03,0,0,0.0
2023-04-04,0,0,0.0
2023-04-05,0,0,0.0
2023-04-06,0,0,0.0
2023-04-07,0,0,0.0
2023-04-08,0,0,0.0
2023-04-09,0,0,0.0
2023-04-10,0,0,0.0
2023-04-11,0,0,0.0
2023-04-12,0,0,0.0
2023-04-13,0,0,0.0
2023-04-14,0,0,0.0
2023-04-15,0,0,0.0
2023-04-16,0,0,0.0
2023-04-17,330,4,0.012121212121212121
2023-04-18,0,0,0.0
2023-04-19,322,6,0.018633540372670808
2023-04-20,0,0,0.0
2023-04-21,0,0,0.0
2023-04-22,0,0,0.0
2023-04-23,156,1,0.00641025641025641
2023-04-24,0,0,0.0
2023-04-25,0,0,0.0
2023-04-26,0,0,0.0
2023-04-27,0,0,0.0
2023-04-28,0,0,0.0
2023-04-29,0,0,0.0
2023-04-30,233,3,0.012875536480686695
2023-05-01,0,0,0.0
2023-05-02,0,0,0.0
2023-05-03,0,0,0.0
2023-05-04,0,0,0.0
2023-05-05,0,0,0.0
2023-05-06,0,0,0.0
2023-05-07,0,0,0.0
2023-05-08,0,0,0.0
2023-05-09,0,0,0.0
2023-05-10,157,3,0.01910828025477707
2023-05-11,0,0,0.0
2023-05-12,0,0,0.0
2023-05-13,0,0,0.0
2023-05-14,0,0,0.0
2023-05-15,0,0,0.0
2023-05-16,0,0,0.0
2023-05-17,0,0,0.0
2023-05-18,0,0,0.0
2023-05-19,0,0,0.0
2023-05-20,0,0,0.0
2023-05-21,0,0,0.0
2023-05-22,249,3,0.012048192771084338
2023-05-23,156,1,0.00641025641025641
2023-05-24,0,0,0.0
2023-05-25,0,0,0.0
2023-05-26,0,0,0.0
2023-05-27,0,0,0.0
2023-05-28,0,0,0.0
2023-05-29,0,0,0.0
2023-05-30,0,0,0.0
2023-05-31,521,8,0.015355086372360844
2023-06-01,0,0,0.0
2023-06-02,0,0,0.0
2023-06-03,0,0,0.0
2023-06-04,0,0,0.0
2023-06-05,0,0,0.0
2023-06-06,0,0,0.0
2023-06-07,0,0,0.0
2023-06-08,0,0,0.0
2023-06-09,0,0,0.0
2023-06-10,0,0,0.0
2023-06-11,0,0,0.0
2023-06-12,0,0,0.0
2023-06-13,0,0,0.0
2023-06-14,0,0,0.0
2023-06-15,0,0,0.0
2023-06-16,0,0,0.0
2023-06-17,0,0,0.0
2023-06-18,0,0,0.0
2023-06-19,0,0,0.0
2023-06-20,0,0,0.0
2023-06-21,93,2,0.021505376344086023
2023-06-22,0,0,0.0
2023-06-23,0,0,0.0
2023-06-24,0,0,0.0
2023-06-25,0,0,0.0
2023-06-26,0,0,0.0
2023-06-27,0,0,0.0
2023-06-28,0,0,0.0
2023-06-29,0,0,0.0
2023-06-30,585,9,0.015384615384615385
2023-07-01,0,0,0.0
2023-07-02,0,0,0.0
2023-07-03,156,2,0.01282051282051282
2023-07-04,0,0,0.0
2023-07-05,0,0,0.0
2023-07-06,0,0,0.0
2023-07-07,0,0,0.0
2023-07-08,0,0,0.0
2023-07-09,0,0,0.0
2023-07-10,0,0,0.0
2023-07-11,0,0,0.0
2023-07-12,0,0,0.0
2023-07-13,0,0,0.0
2023-07-14,230,3,0.013043478260869565
2023-07-15,0,0,0.0
2023-07-16,0,0,0.0
2023-07-17,0,0,0.0
2023-07-18,51,1,0.0196078431372549
2023-07-19,0,0,0.0
2023-07-20,45,1,0.022222222222222223
2023-07-21,0,0,0.0
2023-07-22,0,0,0.0
2023-07-23,0,0,0.0
2023-07-24,0,0,0.0
2023-07-25,0,0,0.0
2023-07-26,0,0,0.0
