数据统计日,仪表数量,该运维内容对应次数,单位该运维内容对应次数
2023-03-14,1596,10,0.006265664160401002
2023-03-15,0,0,0.0
2023-03-16,2808,10,0.0035612535612535613
2023-03-17,2808,10,0.0035612535612535613
2023-03-18,0,0,0.0
2023-03-19,0,0,0.0
2023-03-20,3324,14,0.00421179302045728
2023-03-21,2808,8,0.002849002849002849
2023-03-22,1212,4,0.0033003300330033004
2023-03-23,1888,6,0.0031779661016949155
2023-03-24,0,0,0.0
2023-03-25,0,0,0.0
2023-03-26,0,0,0.0
2023-03-27,1324,16,0.012084592145015106
2023-03-28,0,0,0.0
2023-03-29,0,0,0.0
2023-03-30,966,2,0.002070393374741201
2023-03-31,1212,4,0.0033003300330033004
2023-04-01,0,0,0.0
2023-04-02,0,0,0.0
2023-04-03,1130,5,0.004424778761061947
2023-04-04,0,0,0.0
2023-04-05,0,0,0.0
2023-04-06,1130,14,0.012389380530973451
2023-04-07,1130,4,0.0035398230088495575
2023-04-08,0,0,0.0
2023-04-09,0,0,0.0
2023-04-10,483,5,0.010351966873706004
2023-04-11,606,1,0.0016501650165016502
2023-04-12,0,0,0.0
2023-04-13,1280,7,0.00546875
2023-04-14,1089,3,0.0027548209366391185
2023-04-15,0,0,0.0
2023-04-16,0,0,0.0
2023-04-17,1388,9,0.006484149855907781
2023-04-18,497,2,0.004024144869215292
2023-04-19,0,0,0.0
2023-04-20,0,0,0.0
2023-04-21,798,3,0.0037593984962406013
2023-04-22,0,0,0.0
2023-04-23,483,2,0.004140786749482402
2023-04-24,483,1,0.002070393374741201
2023-04-25,1089,4,0.0036730945821854912
2023-04-26,483,2,0.004140786749482402
2023-04-27,1056,5,0.004734848484848485
2023-04-28,483,1,0.002070393374741201
2023-04-29,0,0,0.0
2023-04-30,0,0,0.0
2023-05-01,0,0,0.0
2023-05-02,0,0,0.0
2023-05-03,0,0,0.0
2023-05-04,1089,6,0.005509641873278237
2023-05-05,606,1,0.0016501650165016502
2023-05-06,1431,3,0.0020964360587002098
2023-05-07,0,0,0.0
2023-05-08,497,2,0.004024144869215292
2023-05-09,0,0,0.0
2023-05-10,0,0,0.0
2023-05-11,0,0,0.0
2023-05-12,483,1,0.002070393374741201
2023-05-13,0,0,0.0
2023-05-14,0,0,0.0
2023-05-15,0,0,0.0
2023-05-16,483,2,0.004140786749482402
2023-05-17,483,1,0.002070393374741201
2023-05-18,606,1,0.0016501650165016502
2023-05-19,1089,5,0.004591368227731864
2023-05-20,0,0,0.0
2023-05-21,0,0,0.0
2023-05-22,1089,7,0.006427915518824609
2023-05-23,0,0,0.0
2023-05-24,1404,5,0.0035612535612535613
2023-05-25,1089,5,0.004591368227731864
2023-05-26,1089,2,0.0018365472910927456
2023-05-27,0,0,0.0
2023-05-28,0,0,0.0
2023-05-29,1722,7,0.0040650406504065045
2023-05-30,1089,3,0.0027548209366391185
2023-05-31,483,2,0.004140786749482402
2023-06-01,798,2,0.002506265664160401
2023-06-02,483,1,0.002070393374741201
2023-06-03,0,0,0.0
2023-06-04,0,0,0.0
2023-06-05,606,2,0.0033003300330033004
2023-06-06,0,0,0.0
2023-06-07,483,1,0.002070393374741201
2023-06-08,1136,3,0.002640845070422535
2023-06-09,0,0,0.0
2023-06-10,0,0,0.0
2023-06-11,606,1,0.0016501650165016502
2023-06-12,1347,8,0.005939123979213066
2023-06-13,0,0,0.0
2023-06-14,483,1,0.002070393374741201
2023-06-15,0,0,0.0
2023-06-16,539,3,0.0055658627087198514
2023-06-17,0,0,0.0
2023-06-18,0,0,0.0
2023-06-19,1778,11,0.006186726659167604
2023-06-20,483,2,0.004140786749482402
2023-06-21,1089,4,0.0036730945821854912
2023-06-22,0,0,0.0
2023-06-23,0,0,0.0
2023-06-24,0,0,0.0
2023-06-25,1089,4,0.0036730945821854912
2023-06-26,483,1,0.002070393374741201
2023-06-27,483,1,0.002070393374741201
2023-06-28,483,2,0.004140786749482402
2023-06-29,1089,4,0.0036730945821854912
2023-06-30,483,2,0.004140786749482402
2023-07-01,0,0,0.0
2023-07-02,0,0,0.0
2023-07-03,1089,10,0.009182736455463728
2023-07-04,606,3,0.0049504950495049506
2023-07-05,1089,2,0.0018365472910927456
2023-07-06,483,2,0.004140786749482402
2023-07-07,606,3,0.0049504950495049506
2023-07-08,0,0,0.0
2023-07-09,0,0,0.0
2023-07-10,1112,7,0.006294964028776978
2023-07-11,1404,4,0.002849002849002849
2023-07-12,483,1,0.002070393374741201
2023-07-13,0,0,0.0
2023-07-14,0,0,0.0
2023-07-15,0,0,0.0
2023-07-16,0,0,0.0
2023-07-17,1089,3,0.0027548209366391185
2023-07-18,1404,3,0.002136752136752137
2023-07-19,483,1,0.002070393374741201
2023-07-20,1089,4,0.0036730945821854912
2023-07-21,0,0,0.0
2023-07-22,0,0,0.0
2023-07-23,0,0,0.0
2023-07-24,1089,7,0.006427915518824609
2023-07-25,0,0,0.0
2023-07-26,0,0,0.0
2023-07-27,878,4,0.004555808656036446
2023-07-28,1404,3,0.002136752136752137
2023-07-29,0,0,0.0
2023-07-30,0,0,0.0
2023-07-31,1484,7,0.0047169811320754715
2023-08-01,1089,4,0.0036730945821854912
2023-08-02,798,4,0.005012531328320802
2023-08-03,0,0,0.0
2023-08-04,788,7,0.008883248730964468
2023-08-05,0,0,0.0
2023-08-06,0,0,0.0
2023-08-07,1451,10,0.006891798759476223
2023-08-08,798,3,0.0037593984962406013
2023-08-09,1404,6,0.004273504273504274
2023-08-10,1089,6,0.005509641873278237
2023-08-11,606,4,0.006600660066006601
2023-08-12,0,0,0.0
2023-08-13,0,0,0.0
2023-08-14,606,1,0.0016501650165016502
2023-08-15,483,3,0.006211180124223602
2023-08-16,483,3,0.006211180124223602
2023-08-17,530,4,0.007547169811320755
2023-08-18,1089,4,0.0036730945821854912
2023-08-19,483,1,0.002070393374741201
2023-08-20,0,0,0.0
2023-08-21,1089,12,0.011019283746556474
2023-08-22,1089,6,0.005509641873278237
2023-08-23,606,2,0.0033003300330033004
2023-08-24,1089,5,0.004591368227731864
2023-08-25,0,0,0.0
2023-08-26,0,0,0.0
2023-08-27,0,0,0.0
2023-08-28,1089,9,0.008264462809917356
2023-08-29,1089,7,0.006427915518824609
2023-08-30,921,4,0.004343105320304018
2023-08-31,524,2,0.003816793893129771
2023-09-01,0,0,0.0
2023-09-02,0,0,0.0
2023-09-03,0,0,0.0
2023-09-04,530,2,0.0037735849056603774
2023-09-05,1413,9,0.006369426751592357
2023-09-06,483,4,0.008281573498964804
2023-09-07,1089,5,0.004591368227731864
2023-09-08,921,3,0.003257328990228013
2023-09-09,0,0,0.0
2023-09-10,0,0,0.0
2023-09-11,1089,2,0.0018365472910927456
2023-09-12,839,3,0.003575685339690107
2023-09-13,606,2,0.0033003300330033004
2023-09-14,1089,3,0.0027548209366391185
2023-09-15,798,2,0.002506265664160401
2023-09-16,0,0,0.0
2023-09-17,0,0,0.0
2023-09-18,483,3,0.006211180124223602
2023-09-19,1089,4,0.0036730945821854912
2023-09-20,606,2,0.0033003300330033004
2023-09-21,921,5,0.0054288816503800215
2023-09-22,1089,3,0.0027548209366391185
2023-09-23,0,0,0.0
2023-09-24,0,0,0.0
2023-09-25,921,9,0.009771986970684038
2023-09-26,606,4,0.006600660066006601
2023-09-27,1451,19,0.013094417643004824
2023-09-28,0,0,0.0
2023-09-29,0,0,0.0
2023-09-30,0,0,0.0
2023-10-01,0,0,0.0
2023-10-02,0,0,0.0
2023-10-03,0,0,0.0
2023-10-04,0,0,0.0
2023-10-05,0,0,0.0
2023-10-06,0,0,0.0
2023-10-07,1492,25,0.01675603217158177
2023-10-08,571,3,0.005253940455341506
2023-10-09,968,9,0.009297520661157025
2023-10-10,0,0,0.0
2023-10-11,1089,4,0.0036730945821854912
2023-10-12,497,2,0.004024144869215292
2023-10-13,798,3,0.0037593984962406013
2023-10-14,0,0,0.0
2023-10-15,0,0,0.0
2023-10-16,0,0,0.0
2023-10-17,2164,21,0.009704251386321626
