数据统计日,仪表数量,该运维内容对应次数,单位该运维内容对应次数
2023-03-21,1360,8,0.0058823529411764705
2023-03-22,1536,10,0.006510416666666667
2023-03-23,60,2,0.03333333333333333
2023-03-24,0,0,0.0
2023-03-25,0,0,0.0
2023-03-26,0,0,0.0
2023-03-27,0,0,0.0
2023-03-28,0,0,0.0
2023-03-29,0,0,0.0
2023-03-30,0,0,0.0
2023-03-31,236,2,0.00847457627118644
2023-04-01,0,0,0.0
2023-04-02,0,0,0.0
2023-04-03,118,1,0.00847457627118644
2023-04-04,0,0,0.0
2023-04-05,0,0,0.0
2023-04-06,0,0,0.0
2023-04-07,823,8,0.009720534629404616
2023-04-08,0,0,0.0
2023-04-09,0,0,0.0
2023-04-10,1337,4,0.0029917726252804786
2023-04-11,30,2,0.06666666666666667
2023-04-12,571,2,0.0035026269702276708
2023-04-13,943,5,0.005302226935312832
2023-04-14,0,0,0.0
2023-04-15,0,0,0.0
2023-04-16,0,0,0.0
2023-04-17,587,2,0.0034071550255536627
2023-04-18,0,0,0.0
2023-04-19,631,1,0.001584786053882726
2023-04-20,118,1,0.00847457627118644
2023-04-21,0,0,0.0
2023-04-22,0,0,0.0
2023-04-23,749,2,0.0026702269692923898
2023-04-24,1158,2,0.0017271157167530224
2023-04-25,0,0,0.0
2023-04-26,0,0,0.0
2023-04-27,650,4,0.006153846153846154
2023-04-28,0,0,0.0
2023-04-29,0,0,0.0
2023-04-30,0,0,0.0
2023-05-01,0,0,0.0
2023-05-02,0,0,0.0
2023-05-03,0,0,0.0
2023-05-04,167,3,0.017964071856287425
2023-05-05,118,1,0.00847457627118644
2023-05-06,0,0,0.0
2023-05-07,0,0,0.0
2023-05-08,135,1,0.007407407407407408
2023-05-09,19,1,0.05263157894736842
2023-05-10,527,3,0.0056925996204933585
2023-05-11,30,1,0.03333333333333333
2023-05-12,0,0,0.0
2023-05-13,0,0,0.0
2023-05-14,0,0,0.0
2023-05-15,661,5,0.007564296520423601
2023-05-16,0,0,0.0
2023-05-17,30,1,0.03333333333333333
2023-05-18,527,2,0.003795066413662239
2023-05-19,0,0,0.0
2023-05-20,0,0,0.0
2023-05-21,0,0,0.0
2023-05-22,631,1,0.001584786053882726
2023-05-23,527,3,0.0056925996204933585
2023-05-24,30,1,0.03333333333333333
2023-05-25,631,1,0.001584786053882726
2023-05-26,0,0,0.0
2023-05-27,0,0,0.0
2023-05-28,0,0,0.0
2023-05-29,1237,5,0.004042037186742118
2023-05-30,0,0,0.0
2023-05-31,651,2,0.0030721966205837174
2023-06-01,0,0,0.0
2023-06-02,30,1,0.03333333333333333
2023-06-03,0,0,0.0
2023-06-04,0,0,0.0
2023-06-05,0,0,0.0
2023-06-06,687,2,0.002911208151382824
2023-06-07,0,0,0.0
2023-06-08,527,1,0.0018975332068311196
2023-06-09,154,3,0.01948051948051948
2023-06-10,0,0,0.0
2023-06-11,0,0,0.0
2023-06-12,631,5,0.00792393026941363
2023-06-13,766,4,0.005221932114882507
2023-06-14,0,0,0.0
2023-06-15,749,2,0.0026702269692923898
2023-06-16,20,1,0.05
2023-06-17,0,0,0.0
2023-06-18,0,0,0.0
2023-06-19,546,2,0.003663003663003663
2023-06-20,0,0,0.0
2023-06-21,631,1,0.001584786053882726
2023-06-22,0,0,0.0
2023-06-23,0,0,0.0
2023-06-24,0,0,0.0
2023-06-25,631,3,0.004754358161648178
2023-06-26,0,0,0.0
2023-06-27,650,3,0.004615384615384616
2023-06-28,1158,2,0.0017271157167530224
2023-06-29,798,6,0.007518796992481203
2023-06-30,661,2,0.0030257186081694403
2023-07-01,0,0,0.0
2023-07-02,0,0,0.0
2023-07-03,661,2,0.0030257186081694403
2023-07-04,866,5,0.005773672055427252
2023-07-05,0,0,0.0
2023-07-06,665,2,0.0030075187969924814
2023-07-07,631,1,0.001584786053882726
2023-07-08,0,0,0.0
2023-07-09,0,0,0.0
2023-07-10,1,1,1.0
2023-07-11,0,0,0.0
2023-07-12,118,1,0.00847457627118644
2023-07-13,0,0,0.0
2023-07-14,631,1,0.001584786053882726
2023-07-15,0,0,0.0
2023-07-16,0,0,0.0
2023-07-17,1412,8,0.0056657223796034
2023-07-18,0,0,0.0
2023-07-19,587,4,0.0068143100511073255
2023-07-20,44,1,0.022727272727272728
2023-07-21,0,0,0.0
2023-07-22,0,0,0.0
2023-07-23,0,0,0.0
2023-07-24,650,3,0.004615384615384616
2023-07-25,527,2,0.003795066413662239
2023-07-26,0,0,0.0
2023-07-27,0,0,0.0
2023-07-28,631,1,0.001584786053882726
2023-07-29,0,0,0.0
2023-07-30,0,0,0.0
2023-07-31,1158,3,0.0025906735751295338
2023-08-01,0,0,0.0
2023-08-02,1177,3,0.002548853016142736
2023-08-03,661,3,0.0045385779122541605
2023-08-04,527,3,0.0056925996204933585
2023-08-05,0,0,0.0
2023-08-06,0,0,0.0
2023-08-07,0,0,0.0
2023-08-08,662,2,0.0030211480362537764
2023-08-09,118,1,0.00847457627118644
2023-08-10,0,0,0.0
2023-08-11,561,3,0.0053475935828877
2023-08-12,0,0,0.0
2023-08-13,631,1,0.001584786053882726
2023-08-14,0,0,0.0
2023-08-15,0,0,0.0
2023-08-16,0,0,0.0
2023-08-17,0,0,0.0
2023-08-18,631,1,0.001584786053882726
2023-08-19,0,0,0.0
2023-08-20,0,0,0.0
2023-08-21,0,0,0.0
2023-08-22,0,0,0.0
2023-08-23,0,0,0.0
2023-08-24,661,4,0.006051437216338881
2023-08-25,1353,4,0.0029563932002956393
2023-08-26,0,0,0.0
2023-08-27,0,0,0.0
2023-08-28,606,3,0.0049504950495049506
2023-08-29,0,0,0.0
2023-08-30,60,1,0.016666666666666666
2023-08-31,0,0,0.0
2023-09-01,741,5,0.006747638326585695
2023-09-02,0,0,0.0
2023-09-03,0,0,0.0
2023-09-04,527,1,0.0018975332068311196
2023-09-05,0,0,0.0
2023-09-06,661,2,0.0030257186081694403
2023-09-07,0,0,0.0
2023-09-08,2,1,0.5
2023-09-09,0,0,0.0
2023-09-10,0,0,0.0
2023-09-11,0,0,0.0
2023-09-12,561,2,0.0035650623885918
2023-09-13,0,0,0.0
2023-09-14,631,2,0.003169572107765452
2023-09-15,631,1,0.001584786053882726
2023-09-16,0,0,0.0
2023-09-17,0,0,0.0
2023-09-18,154,3,0.01948051948051948
2023-09-19,0,0,0.0
2023-09-20,0,0,0.0
2023-09-21,1276,3,0.0023510971786833857
2023-09-22,0,0,0.0
2023-09-23,0,0,0.0
2023-09-24,0,0,0.0
2023-09-25,662,3,0.004531722054380665
2023-09-26,706,4,0.0056657223796034
2023-09-27,50,2,0.04
2023-09-28,631,1,0.001584786053882726
2023-09-29,0,0,0.0
2023-09-30,0,0,0.0
2023-10-01,0,0,0.0
2023-10-02,0,0,0.0
2023-10-03,0,0,0.0
2023-10-04,0,0,0.0
2023-10-05,0,0,0.0
2023-10-06,0,0,0.0
2023-10-07,1510,23,0.015231788079470199
2023-10-08,779,3,0.0038510911424903724
2023-10-09,1323,7,0.005291005291005291
2023-10-10,1276,4,0.003134796238244514
2023-10-11,0,0,0.0
2023-10-12,645,2,0.0031007751937984496
2023-10-13,662,2,0.0030211480362537764
2023-10-14,0,0,0.0
2023-10-15,0,0,0.0
2023-10-16,651,2,0.0030721966205837174
2023-10-17,706,4,0.0056657223796034
2023-10-18,30,1,0.03333333333333333
2023-10-19,791,2,0.0025284450063211127
2023-10-20,0,0,0.0
2023-10-21,0,0,0.0
2023-10-22,0,0,0.0
2023-10-23,1063,6,0.005644402634054563
2023-10-24,791,2,0.0025284450063211127
2023-10-25,799,4,0.0050062578222778474
2023-10-26,30,1,0.03333333333333333
2023-10-27,527,2,0.003795066413662239
2023-10-28,0,0,0.0
2023-10-29,0,0,0.0
2023-10-30,631,2,0.003169572107765452
2023-10-31,662,3,0.004531722054380665
2023-11-01,0,0,0.0
2023-11-02,661,2,0.0030257186081694403
2023-11-03,0,0,0.0
2023-11-04,0,0,0.0
2023-11-05,0,0,0.0
2023-11-06,749,4,0.0053404539385847796
2023-11-07,749,2,0.0026702269692923898
2023-11-08,1293,3,0.002320185614849188
2023-11-09,650,2,0.003076923076923077
2023-11-10,756,4,0.005291005291005291
2023-11-11,0,0,0.0
2023-11-12,0,0,0.0
2023-11-13,1483,5,0.0033715441672285905
2023-11-14,118,1,0.00847457627118644
2023-11-15,135,1,0.007407407407407408
2023-11-16,0,0,0.0
2023-11-17,0,0,0.0
2023-11-18,0,0,0.0
2023-11-19,0,0,0.0
2023-11-20,1519,9,0.005924950625411455
2023-11-21,49,2,0.04081632653061224
2023-11-22,19,1,0.05263157894736842
2023-11-23,180,3,0.016666666666666666
2023-11-24,0,0,0.0
2023-11-25,0,0,0.0
2023-11-26,0,0,0.0
2023-11-27,661,5,0.007564296520423601
2023-11-28,631,1,0.001584786053882726
2023-11-29,587,2,0.0034071550255536627
2023-11-30,631,1,0.001584786053882726
2023-12-01,0,0,0.0
2023-12-02,0,0,0.0
2023-12-03,0,0,0.0
2023-12-04,1218,4,0.003284072249589491
2023-12-05,826,3,0.0036319612590799033
2023-12-06,118,1,0.00847457627118644
2023-12-07,0,0,0.0
2023-12-08,779,3,0.0038510911424903724
2023-12-09,0,0,0.0
2023-12-10,0,0,0.0
2023-12-11,882,4,0.0045351473922902496
2023-12-12,30,1,0.03333333333333333
2023-12-13,148,2,0.013513513513513514
2023-12-14,631,1,0.001584786053882726
2023-12-15,0,0,0.0
2023-12-16,0,0,0.0
2023-12-17,0,0,0.0
2023-12-18,0,0,0.0
2023-12-19,1339,13,0.009708737864077669
2023-12-20,118,1,0.00847457627118644
2023-12-21,1318,5,0.0037936267071320183
2023-12-22,631,1,0.001584786053882726
2023-12-23,0,0,0.0
2023-12-24,0,0,0.0
2023-12-25,1527,8,0.005239030779305829
2023-12-26,0,0,0.0
2023-12-27,182,2,0.01098901098901099
2023-12-28,527,1,0.0018975332068311196
2023-12-29,698,3,0.004297994269340974
2023-12-30,0,0,0.0
2023-12-31,0,0,0.0
2024-01-01,0,0,0.0
2024-01-02,0,0,0.0
2024-01-03,0,0,0.0
2024-01-04,0,0,0.0
2024-01-05,847,3,0.0035419126328217238
2024-01-06,0,0,0.0
2024-01-07,0,0,0.0
2024-01-08,1602,5,0.003121098626716604
2024-01-09,645,2,0.0031007751937984496
2024-01-10,631,2,0.003169572107765452
2024-01-11,0,0,0.0
2024-01-12,835,3,0.003592814371257485
2024-01-13,0,0,0.0
2024-01-14,0,0,0.0
2024-01-15,631,3,0.004754358161648178
2024-01-16,1158,3,0.0025906735751295338
2024-01-17,165,3,0.01818181818181818
2024-01-18,667,2,0.0029985007496251873
2024-01-19,30,1,0.03333333333333333
2024-01-20,0,0,0.0
2024-01-21,0,0,0.0
2024-01-22,945,6,0.006349206349206349
2024-01-23,631,1,0.001584786053882726
2024-01-24,631,1,0.001584786053882726
2024-01-25,90,2,0.022222222222222223
2024-01-26,0,0,0.0
2024-01-27,0,0,0.0
2024-01-28,0,0,0.0
2024-01-29,331,4,0.012084592145015106
2024-01-30,0,0,0.0
2024-01-31,0,0,0.0
2024-02-01,329,3,0.00911854103343465
2024-02-02,0,0,0.0
2024-02-03,0,0,0.0
2024-02-04,721,3,0.004160887656033287
2024-02-05,631,1,0.001584786053882726
2024-02-06,766,3,0.0039164490861618795
2024-02-07,0,0,0.0
2024-02-08,0,0,0.0
2024-02-09,0,0,0.0
2024-02-10,0,0,0.0
2024-02-11,0,0,0.0
2024-02-12,0,0,0.0
2024-02-13,0,0,0.0
2024-02-14,0,0,0.0
2024-02-15,0,0,0.0
2024-02-16,0,0,0.0
2024-02-17,0,0,0.0
2024-02-18,1497,9,0.006012024048096192
2024-02-19,30,2,0.06666666666666667
2024-02-20,631,1,0.001584786053882726
2024-02-21,731,4,0.005471956224350205
2024-02-22,791,2,0.0025284450063211127
2024-02-23,0,0,0.0
2024-02-24,0,0,0.0
2024-02-25,0,0,0.0
2024-02-26,196,3,0.015306122448979591
