数据统计日,仪表数量,该运维内容对应次数,单位该运维内容对应次数
2023-03-14,2182,8,0.0036663611365719525
2023-03-15,672,4,0.005952380952380952
2023-03-16,644,2,0.003105590062111801
2023-03-17,110,2,0.01818181818181818
2023-03-18,336,2,0.005952380952380952
2023-03-19,446,4,0.008968609865470852
2023-03-20,446,4,0.008968609865470852
2023-03-21,1222,4,0.0032733224222585926
2023-03-22,316,2,0.006329113924050633
2023-03-23,980,6,0.006122448979591836
2023-03-24,960,6,0.00625
2023-03-25,0,0,0.0
2023-03-26,0,0,0.0
2023-03-27,336,2,0.005952380952380952
2023-03-28,1538,6,0.0039011703511053317
2023-03-29,1874,10,0.005336179295624333
2023-03-30,80,4,0.05
2023-03-31,0,0,0.0
2023-04-01,0,0,0.0
2023-04-02,0,0,0.0
2023-04-03,376,2,0.005319148936170213
2023-04-04,55,1,0.01818181818181818
2023-04-05,893,3,0.0033594624860022394
2023-04-06,322,1,0.003105590062111801
2023-04-07,897,4,0.004459308807134894
2023-04-08,626,3,0.004792332268370607
2023-04-09,0,0,0.0
2023-04-10,143,1,0.006993006993006993
2023-04-11,252,3,0.011904761904761904
2023-04-12,571,1,0.0017513134851138354
2023-04-13,0,0,0.0
2023-04-14,893,2,0.0022396416573348264
2023-04-15,168,2,0.011904761904761904
2023-04-16,348,4,0.011494252873563218
2023-04-17,158,1,0.006329113924050633
2023-04-18,158,1,0.006329113924050633
2023-04-19,571,1,0.0017513134851138354
2023-04-20,158,1,0.006329113924050633
2023-04-21,565,3,0.005309734513274336
2023-04-22,0,0,0.0
2023-04-23,545,3,0.005504587155963303
2023-04-24,794,4,0.005037783375314861
2023-04-25,362,2,0.0055248618784530384
2023-04-26,714,2,0.0028011204481792717
2023-04-27,0,0,0.0
2023-04-28,158,1,0.006329113924050633
2023-04-29,0,0,0.0
2023-04-30,0,0,0.0
2023-05-01,565,3,0.005309734513274336
2023-05-02,143,1,0.006993006993006993
2023-05-03,0,0,0.0
2023-05-04,337,2,0.005934718100890208
2023-05-05,480,2,0.004166666666666667
2023-05-06,40,1,0.025
2023-05-07,0,0,0.0
2023-05-08,66,2,0.030303030303030304
2023-05-09,0,0,0.0
2023-05-10,907,3,0.0033076074972436605
2023-05-11,40,1,0.025
2023-05-12,223,2,0.008968609865470852
2023-05-13,366,3,0.00819672131147541
2023-05-14,571,1,0.0017513134851138354
2023-05-15,794,3,0.003778337531486146
2023-05-16,480,2,0.004166666666666667
2023-05-17,322,1,0.003105590062111801
2023-05-18,380,3,0.007894736842105263
2023-05-19,648,4,0.006172839506172839
2023-05-20,0,0,0.0
2023-05-21,0,0,0.0
2023-05-22,398,3,0.007537688442211055
2023-05-23,0,0,0.0
2023-05-24,55,1,0.01818181818181818
2023-05-25,0,0,0.0
2023-05-26,0,0,0.0
2023-05-27,0,0,0.0
2023-05-28,0,0,0.0
2023-05-29,0,0,0.0
2023-05-30,571,2,0.0035026269702276708
2023-05-31,625,6,0.0096
2023-06-01,326,3,0.009202453987730062
2023-06-02,0,0,0.0
2023-06-03,1036,4,0.003861003861003861
2023-06-04,571,2,0.0035026269702276708
2023-06-05,95,2,0.021052631578947368
2023-06-06,223,3,0.013452914798206279
2023-06-07,571,3,0.005253940455341506
2023-06-08,46,1,0.021739130434782608
2023-06-09,465,3,0.0064516129032258064
2023-06-10,168,1,0.005952380952380952
2023-06-11,465,2,0.004301075268817204
2023-06-12,40,1,0.025
2023-06-13,0,0,0.0
2023-06-14,322,1,0.003105590062111801
2023-06-15,55,1,0.01818181818181818
2023-06-16,322,2,0.006211180124223602
2023-06-17,0,0,0.0
2023-06-18,0,0,0.0
2023-06-19,1275,6,0.004705882352941176
2023-06-20,238,3,0.012605042016806723
2023-06-21,490,2,0.004081632653061225
2023-06-22,0,0,0.0
2023-06-23,0,0,0.0
2023-06-24,0,0,0.0
2023-06-25,1354,14,0.0103397341211226
2023-06-26,1194,5,0.0041876046901172526
2023-06-27,480,2,0.004166666666666667
2023-06-28,75,1,0.013333333333333334
2023-06-29,437,3,0.006864988558352402
2023-06-30,646,2,0.0030959752321981426
2023-07-01,0,0,0.0
2023-07-02,0,0,0.0
2023-07-03,1063,7,0.00658513640639699
2023-07-04,571,1,0.0017513134851138354
2023-07-05,362,4,0.011049723756906077
2023-07-06,1171,5,0.004269854824935952
2023-07-07,96,1,0.010416666666666666
2023-07-08,0,0,0.0
2023-07-09,667,2,0.0029985007496251873
2023-07-10,301,2,0.006644518272425249
2023-07-11,158,1,0.006329113924050633
2023-07-12,326,3,0.009202453987730062
2023-07-13,1381,8,0.005792903692976104
2023-07-14,348,4,0.011494252873563218
2023-07-15,0,0,0.0
2023-07-16,0,0,0.0
2023-07-17,571,1,0.0017513134851138354
2023-07-18,490,2,0.004081632653061225
2023-07-19,0,0,0.0
2023-07-20,646,3,0.0046439628482972135
2023-07-21,326,2,0.006134969325153374
2023-07-22,0,0,0.0
2023-07-23,0,0,0.0
2023-07-24,869,5,0.005753739930955121
2023-07-25,168,1,0.005952380952380952
2023-07-26,667,2,0.0029985007496251873
2023-07-27,480,3,0.00625
2023-07-28,897,4,0.004459308807134894
2023-07-29,0,0,0.0
2023-07-30,0,0,0.0
2023-07-31,1076,4,0.0037174721189591076
2023-08-01,1249,6,0.004803843074459567
2023-08-02,158,1,0.006329113924050633
2023-08-03,571,1,0.0017513134851138354
2023-08-04,54,1,0.018518518518518517
2023-08-05,571,1,0.0017513134851138354
2023-08-06,158,1,0.006329113924050633
2023-08-07,168,1,0.005952380952380952
2023-08-08,334,2,0.005988023952095809
2023-08-09,893,4,0.004479283314669653
2023-08-10,948,4,0.004219409282700422
2023-08-11,322,2,0.006211180124223602
2023-08-12,0,0,0.0
2023-08-13,0,0,0.0
2023-08-14,916,12,0.013100436681222707
2023-08-15,1181,5,0.004233700254022015
2023-08-16,0,0,0.0
2023-08-17,480,5,0.010416666666666666
2023-08-18,253,3,0.011857707509881422
2023-08-19,0,0,0.0
2023-08-20,0,0,0.0
2023-08-21,626,4,0.006389776357827476
2023-08-22,184,4,0.021739130434782608
2023-08-23,535,3,0.005607476635514018
2023-08-24,1232,7,0.005681818181818182
2023-08-25,0,0,0.0
2023-08-26,309,3,0.009708737864077669
2023-08-27,0,0,0.0
2023-08-28,1119,7,0.006255585344057194
2023-08-29,1007,6,0.005958291956305859
2023-08-30,571,1,0.0017513134851138354
2023-08-31,893,4,0.004479283314669653
2023-09-01,322,1,0.003105590062111801
2023-09-02,75,1,0.013333333333333334
2023-09-03,583,3,0.005145797598627788
2023-09-04,0,0,0.0
2023-09-05,844,7,0.008293838862559242
2023-09-06,362,3,0.008287292817679558
2023-09-07,397,3,0.007556675062972292
2023-09-08,0,0,0.0
2023-09-09,0,0,0.0
2023-09-10,0,0,0.0
2023-09-11,480,2,0.004166666666666667
2023-09-12,158,2,0.012658227848101266
2023-09-13,356,3,0.008426966292134831
2023-09-14,326,2,0.006134969325153374
2023-09-15,571,2,0.0035026269702276708
2023-09-16,646,3,0.0046439628482972135
2023-09-17,1178,6,0.0050933786078098476
2023-09-18,714,2,0.0028011204481792717
2023-09-19,0,0,0.0
2023-09-20,0,0,0.0
2023-09-21,171,2,0.011695906432748537
2023-09-22,322,1,0.003105590062111801
2023-09-23,714,3,0.004201680672268907
2023-09-24,1290,7,0.005426356589147287
2023-09-25,158,1,0.006329113924050633
2023-09-26,0,0,0.0
2023-09-27,0,0,0.0
2023-09-28,0,0,0.0
2023-09-29,0,0,0.0
2023-09-30,0,0,0.0
2023-10-01,0,0,0.0
2023-10-02,0,0,0.0
2023-10-03,0,0,0.0
2023-10-04,0,0,0.0
2023-10-05,1401,12,0.008565310492505354
2023-10-06,0,0,0.0
2023-10-07,1628,16,0.009828009828009828
2023-10-08,480,2,0.004166666666666667
2023-10-09,574,5,0.008710801393728223
2023-10-10,829,4,0.0048250904704463205
2023-10-11,0,0,0.0
2023-10-12,968,5,0.005165289256198347
2023-10-13,0,0,0.0
2023-10-14,0,0,0.0
2023-10-15,0,0,0.0
2023-10-16,968,4,0.004132231404958678
2023-10-17,930,6,0.0064516129032258064
2023-10-18,0,0,0.0
2023-10-19,1180,10,0.00847457627118644
2023-10-20,893,5,0.005599104143337066
2023-10-21,0,0,0.0
2023-10-22,0,0,0.0
2023-10-23,1051,6,0.005708848715509039
2023-10-24,571,2,0.0035026269702276708
2023-10-25,0,0,0.0
2023-10-26,0,0,0.0
2023-10-27,1570,14,0.008917197452229299
2023-10-28,0,0,0.0
2023-10-29,0,0,0.0
2023-10-30,1202,6,0.004991680532445923
2023-10-31,0,0,0.0
